company_name,security_name,company_url,trading_code,scrip_code,isin,last_trading_price,last_trading_yield,closing_price,last_update,days_range,change_prev,change_next,days_value,fiftytwo_weeks_moving_range,opening_price,days_volume,adjusted_opening_price,days_trade,yesterday_closing_price,market_capitalization,remaining_maturity,issuer,tenure,issue_date,cupon_rate,debut_trading_date_basic,cupon_frequency,maturity_date,security_catagory,electronic_share_basic,year_basis,authorized_capital,debut_trading_date,paid_up_capital,type_of_instrument,face_par_value,market_lot,total_outstanding_security,sector,address_head_office,address_factory,address_issuer,concern_department,contact_phone,fax,email,web,company_secretary_name,secretary_cell_no,secretary_telephone_no,secratary_email,listing_year,market_catagory,electronic_share,share_holding_percent_1,sponsor_or_director_1,govt_1,institute_1,foreign_1,public_1,share_holding_percent_2,sponsor_or_director_2,govt_2,institute_2,foreign_2,public_2,share_holding_percent_3,sponsor_or_director_3,govt_3,institute_3,foreign_3,public_3,remarks
ICB AMCL Third NRB Mutual Fund,N/A,https://www.dsebd.org/displayCompany.php?name=ICB3RDNRB,ICB3RDNRB,12177,N/A,N/A,N/A,6.50,3:10 PM,N/A,N/A,-100.00%,N/A,6.00 - 7.50,N/A,N/A,6.50,N/A,6.50,650.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",Corporate Bond,10.0,1,"100,000,000",Mutual Funds,"Green City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",N/A,N/A,N/A,+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,N/A,N/A,N/A,N/A,2010,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]",10.03,0.00,49.62,6.78,33.57,"Share Holding Percentage
                    [as on Sep 30, 2022]",10.03,0.00,49.81,6.82,33.34,"Share Holding Percentage
                    [as on Oct 31, 2022]",10.03,0.00,49.91,6.82,33.24,N/A
ICB AMCL First Agrani Bank Mutual Fund,N/A,https://www.dsebd.org/displayCompany.php?name=ICBAGRANI1,ICBAGRANI1,12201,N/A,N/A,N/A,9.20,3:10 PM,N/A,N/A,-100.00%,N/A,8.40 - 10.20,N/A,N/A,9.20,N/A,9.20,902.989,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"08 Oct, 2017",982.00,Corporate Bond,10.0,1,"98,151,000",Mutual Funds,"Green City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",N/A,N/A,N/A,Phone: +88-02-8300412,Fax: +88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,N/A,N/A,N/A,N/A,2017,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]",50.94,0.00,40.22,0.00,8.84,"Share Holding Percentage
                    [as on Sep 30, 2022]",50.94,0.00,38.53,0.00,10.53,"Share Holding Percentage
                    [as on Oct 31, 2022]",50.94,0.00,38.46,0.00,10.60,N/A
ICB AMCL Second Mutual Fund,N/A,https://www.dsebd.org/displayCompany.php?name=ICBAMCL2ND,ICBAMCL2ND,12170,N/A,8.70,N/A,8.70,3:10 PM,8.70 - 8.70,0,0.00%,N/A,8.10 - 10.70,8.70,1.00,8.70,1,8.70,435.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.00,Corporate Bond,10.0,1,"50,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",N/A,N/A,N/A,+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,N/A,N/A,N/A,N/A,2009,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]",0.00,0.00,56.16,0.00,43.84,"Share Holding Percentage
                    [as on Sep 30, 2022]",0.00,0.00,57.30,0.00,42.70,"Share Holding Percentage
                    [as on Oct 31, 2022]",0.00,0.00,57.33,0.00,42.67,N/A
ICB Employees Provident MF 1,N/A,https://www.dsebd.org/displayCompany.php?name=ICBEPMF1S1,ICBEPMF1S1,12171,N/A,N/A,N/A,7.10,3:10 PM,N/A,N/A,-100.00%,N/A,6.60 - 8.40,N/A,N/A,7.10,N/A,7.10,532.500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,750.00,Corporate Bond,10.0,1,"75,000,000",Mutual Funds,"Green City Edge (4th floor)rn89, Kakrail, Dhaka- 1000.",N/A,N/A,N/A,+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,N/A,N/A,N/A,N/A,2009,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]",10.00,0.00,40.32,0.00,49.68,"Share Holding Percentage
                    [as on Sep 30, 2022]",10.00,0.00,40.75,0.00,49.25,"Share Holding Percentage
                    [as on Oct 31, 2022]",10.00,0.00,40.75,0.00,49.25,N/A
ICB Islamic Bank Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ICBIBANK,ICBIBANK,11110,N/A,N/A,N/A,5.40,3:10 PM,N/A,N/A,-100.00%,N/A,3.80 - 6.60,N/A,N/A,5.40,N/A,5.40,"3,589.392",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"15,000.00",N/A,"6,647.02",Equity,10.0,1,"664,702,300",Bank,"T.K. Bhaban (15th Floor), 13 Kazi Nazrul Islam Avenue, Kawran Bazar, Dhaka -1215",N/A,N/A,N/A,"55012061-65, 55012079",55012060,ds.board@icbislamic-bd.com,http://www.icbislamic-bd.com,Rabeul Alam Uzzal (Acting),+88 01847 090 781,55012061-65 Ext. 110,ds.board@icbislamic-bd.com,1990,Z,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",52.76,0.17,22.34,0.00,24.73,"Share Holding Percentage
                    [as on Sep 30, 2022]",52.76,0.17,22.82,0.00,24.25,"Share Holding Percentage
                    [as on Oct 31, 2022]",52.76,0.17,22.82,0.00,24.25,N/A
ICB AMCL Sonali Bank Limited 1st Mutual Fund,N/A,https://www.dsebd.org/displayCompany.php?name=ICBSONALI1,ICBSONALI1,12193,N/A,N/A,N/A,7.80,3:10 PM,N/A,N/A,-100.00%,N/A,7.40 - 8.90,N/A,N/A,7.80,N/A,7.80,780.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"12 Jun, 2013","1,000.00",Corporate Bond,10.0,1,"100,000,000",Mutual Funds,"ICB Asset Management Company Limited, rnGreen City Edge(4th floor)rn89, Kakrail, Dhaka- 1000.",N/A,N/A,N/A,+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,N/A,N/A,N/A,N/A,2013,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]",25.00,0.00,64.63,0.00,10.37,"Share Holding Percentage
                    [as on Sep 30, 2022]",25.00,0.00,65.04,0.00,9.96,"Share Holding Percentage
                    [as on Oct 31, 2022]",25.00,0.00,65.04,0.00,9.96,Data has been provided as per audited accounts
IDLC Finance Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=IDLC,IDLC,11111,N/A,46.50,N/A,46.50,3:10 PM,46.50 - 46.50,0,0.00%,0.16,45.00 - 63.40,46.50,"3,424.00",46.50,7,46.50,"19,329.980",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"10,000.00",N/A,"4,156.98",Equity,10.0,1,"415,698,485",Financial Institutions,"Bay’s Galleria (1st Floor), 57 Gulshan Avenue, Dhaka 1212",N/A,N/A,N/A,+880 (2) 883 4990 (Auto Hunting),+880 (2) 883 4377,companysecretary@idlc.com,http://www.idlc.com,"Abul Fazal Mohamed Rubayat FCS, ACMA",+ 88 01730 374 531,+880 (2) 883 4990 ext. 144 (Auto Hunting),mrubayat@intra.idlc.com,1992,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",56.66,0.00,23.69,5.48,14.17,"Share Holding Percentage
                    [as on Sep 30, 2022]",56.66,0.00,27.44,1.16,14.74,"Share Holding Percentage
                    [as on Oct 31, 2022]",56.66,0.00,27.54,1.16,14.64,"125,683,593 Right Shares of Tk 10 each at an issue price of Tk 20 each including a premium of Tk 10 offered & subscribed on the basis of 1R:2 from 01.01.2017 to 19.01.2017"
IFAD Autos Limited,N/A,https://www.dsebd.org/displayCompany.php?name=IFADAUTOS,IFADAUTOS,13237,N/A,44.10,N/A,44.10,3:10 PM,44.10 - 44.10,0,0.00%,0.12,43.10 - 56.30,44.10,"2,769.00",44.10,4,44.10,"11,155.113",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,000.00","05 Feb, 2015","2,529.50",Equity,10.0,1,"252,950,412",Engineering,"IFAD TOWER, Plot-7 (New), Tejgaon Industrial Area, Dhaka-1208","Saha Belishor, Dhamrai, Dhaka",N/A,N/A,"01966670916, 09612114444, +88 02 9632753-7, +88 02 9632761-2","8870304,  9632764",contact@ifadautos.com,http://www.ifadautos.com,"Md. Sazzad Hossain Talukder, ACS",+88 01966 670 915,"+88 02 9632753-7, +88 02 9632761-2, Ext-304",cs.ial@ifadgroup.com,2015,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",54.87,0.00,25.43,0.83,18.87,"Share Holding Percentage
                    [as on Sep 30, 2022]",54.87,0.00,28.50,0.08,16.55,"Share Holding Percentage
                    [as on Oct 31, 2022]",54.87,0.00,28.22,0.08,16.83,"1.TK 1,032,580,284 Revaluation Reserve has been added to Reserve & Surplus."
IFIC Bank Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=IFIC,IFIC,11103,N/A,11.50,N/A,11.50,3:10 PM,11.50 - 11.50,0,0.00%,0.32,10.70 - 19.70,11.50,"27,373.00",11.50,26,11.50,"20,537.976",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"40,000.00",N/A,"17,859.10",Equity,10.0,1,"1,785,910,939",Bank,"IFIC Tower, 61, Purana Paltan, Dhaka-1000",N/A,N/A,N/A,09666716250 (Hunting)  Ext.234,02-9554102,info@ificbankbd.com,http://www.ificbank.com.bd,Mr. Md. Mokammel Hoque,+88 01711 082 129,"0966671625, Ext. 122",mokammel@ificbankbd.com,1986,B,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",6.14,32.75,20.05,1.07,39.99,"Share Holding Percentage
                    [as on Sep 30, 2022]",6.14,32.75,21.67,0.93,38.51,"Share Holding Percentage
                    [as on Oct 31, 2022]",6.14,32.75,21.38,0.93,38.80,"1. TK. 96,309,954 Revaluation Reserve has been added to Reserve & Surplus. 2. The Government is being represented on the Board of the Bank through three nominated Directors and as such, the total holdings of the Sponsor and Directors are 38.89% of the outstanding shares of the Bank."
IFIC Bank 1st Mutual Fund,N/A,https://www.dsebd.org/displayCompany.php?name=IFIC1STMF,IFIC1STMF,12175,N/A,5.10,N/A,5.10,3:10 PM,5.10 - 5.10,0,0.00%,0.00,5.00 - 6.00,5.10,300.00,5.10,1,5.10,929.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,821.67",Corporate Bond,10.0,1,"182,167,965",Mutual Funds,"Sky View Henolux Center, Office No: C-1, 1st Floor, 3/1, Purana Paltan, Dhaka-1000",N/A,N/A,N/A,"01302-399597, 01309-402782",88 02 9361530,info@racebd.com,http://www.racebd.com,N/A,N/A,N/A,N/A,2010,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]",20.83,0.00,18.44,0.00,60.73,"Share Holding Percentage
                    [as on Sep 30, 2022]",20.83,0.00,11.70,0.00,67.47,"Share Holding Percentage
                    [as on Oct 31, 2022]",20.83,0.00,12.17,0.00,67.00,Net Profit and EPS of 2011 are calculated based on the period of Fifteen (15) months (April 2010 to June 2011)
IFIL Islamic Mutual Fund-1,N/A,https://www.dsebd.org/displayCompany.php?name=IFILISLMF1,IFILISLMF1,12181,N/A,N/A,N/A,6.40,3:10 PM,N/A,N/A,-100.00%,N/A,6.10 - 7.50,N/A,N/A,6.40,N/A,6.40,640.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",Corporate Bond,10.0,1,"100,000,000",Mutual Funds,"ICB Asset Management Company Ltd.,rnGreen City Edge Building (4th floor)rn89, Kakrail, Dhaka- 1000.",N/A,N/A,N/A,+88-02-8300412,+88-02-8300416,info@icbamcl.com.bd,http://www.icbamcl.com.bd,N/A,N/A,N/A,N/A,2010,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2022 (year ended)]",1.00,0.00,63.25,7.63,28.12,"Share Holding Percentage
                    [as on Sep 30, 2022]",1.00,0.00,63.09,7.63,28.28,"Share Holding Percentage
                    [as on Oct 31, 2022]",1.00,0.00,63.10,7.63,28.27,N/A
International Leasing & Financial Services Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=ILFSL,ILFSL,11143,N/A,5.60,N/A,5.60,3:10 PM,5.60 - 5.60,0,0.00%,0.00,5.00 - 8.00,5.60,544.00,5.60,2,5.60,"1,242.137",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,000.00",N/A,"2,218.10",Equity,10.0,1,"221,810,246",Financial Institutions,"DR Tower (13th Floor), 65/2/2, Bir Protik Gazi Golam Dostogir Road, Purana Paltan, Dhaka-1000",N/A,N/A,N/A,"+880-2-9559639, 9586671-75;",+880-2-9559640,info@ilfsl.com,http://www.ilfsl.com,Mr. Md. Asaduzzaman,+88 01677 552 192,"+880-2-9559639, 9586671-75 (Extension: 157)",asad@ilfsl.com,2007,B,Y,"Share Holding Percentage
                    [as on Dec 31, 2020 (year ended)]",41.54,0.00,28.92,0.07,29.47,"Share Holding Percentage
                    [as on Sep 30, 2022]",41.54,0.00,24.70,0.01,33.75,"Share Holding Percentage
                    [as on Oct 31, 2022]",41.54,0.00,23.69,0.01,34.76,N/A
Imam Button Industries Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=IMAMBUTTON,IMAMBUTTON,18474,N/A,N/A,N/A,126.60,3:10 PM,N/A,N/A,-100.00%,N/A,22.60 - 156.80,N/A,N/A,126.60,N/A,126.60,974.820,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.00,N/A,77.00,Equity,10.0,1,"7,700,000",Pharmaceuticals & Chemicals,"Fahim Mansion (5th floor)10, anderkilla , Chittagong",N/A,N/A,N/A,"031-613562, 223384409",N/A,imamgr07@yahoo.com,http://www.imambutton.com,Arabinda Nag (active),01637188788,223384409,N/A,1996,Z,Y,"Share Holding Percentage
                    [as on Jun 30, 2018 (year ended)]",31.53,0.00,9.01,0.00,59.46,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.08,0.00,9.01,0.00,60.91,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.08,0.00,9.01,0.00,60.91,N/A
Index Agro Industries Limited,N/A,https://www.dsebd.org/displayCompany.php?name=INDEXAGRO,INDEXAGRO,99643,N/A,103.60,N/A,103.60,3:10 PM,103.60 - 105.00,-0.2,-0.19%,20.43,92.60 - 154.80,103.80,"196,980.00",103.80,335,103.80,"4,904.929",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00","07 Apr, 2021",472.54,Equity,10.0,1,"47,253,649",Miscellaneous,"MF Tower, Plot: GA-95/C, Pragati Sarani, Gulshan 1 Link Road, Dhaka-1212","601/01, Block: N, Dhaka Mymensingh Road, Kathali, 09 no. Ward, Valuka, Mymensingh",N/A,N/A,"02-58817175, 02-222296442",02-58814759,info@index-companies.com,http://www.index-agro.com,"Mr. Abu Jafar Ali, ACS",+88 01844 004 026,N/A,jafar@index-companies.com,2021,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",57.77,0.00,19.83,0.00,22.40,"Share Holding Percentage
                    [as on Sep 30, 2022]",57.77,0.00,18.67,0.00,23.56,"Share Holding Percentage
                    [as on Oct 31, 2022]",57.77,0.00,18.92,0.00,23.31,"TK 34,157,875 Revaluation Reserve has been added Reserve & Surplus."
Intech  Limited,N/A,https://www.dsebd.org/displayCompany.php?name=INTECH,INTECH,22644,N/A,30.40,N/A,30.40,3:10 PM,30.40 - 30.40,0,0.00%,0.15,25.60 - 34.90,30.40,"5,082.00",30.40,8,30.40,952.165,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,200.00",N/A,313.21,Equity,10.0,1,"31,321,226",IT Sector,"Apartment # A4 (3rd Floor), House#36, Road#25, Gulshan-1, Dhaka-1212.",N/A,N/A,N/A,01322-894549-50,N/A,info@intech.com.bd,http://www.intech.com.bd,Md. Emran Hossain Niloy,01322-894545,N/A,cs@intech.com.bd,2002,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2020 (year ended)]",3.97,0.00,9.48,0.00,86.55,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.14,0.00,10.97,0.08,58.81,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.14,0.00,11.16,0.07,58.63,N/A
Intraco Refueling Station Limited,N/A,https://www.dsebd.org/displayCompany.php?name=INTRACO,INTRACO,15320,N/A,42.00,N/A,42.00,3:10 PM,41.00 - 43.70,-0.2,-0.47%,52.75,17.70 - 52.00,41.00,"1,252,891.00",42.20,637,42.20,"4,145.422",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,500.00","17 May, 2018",982.33,Equity,10.0,1,"98,232,750",Fuel & Power,"H# 40, R# 09, Block# J, Progati sarani Baridhara, Dhaka 1212","(1) Holding no: 444/415, Old Bus Stand Road, Chandpur. (2), 154, Naya Aity, Mukti Sarani, Senar Par, Narayangonj.  (3) Haratoli Highway, Sadar south,Comilla",N/A,N/A,"88-02-9881887,8833854",88 02 9849851,salahuddin@intracogroup.com,http://www.intracorefueling.com,Mr. G.M Salahuddin,+88 01975 006 060,N/A,salahuddin@intracogroup.com,2018,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",30.66,0.00,19.07,0.00,50.27,"Share Holding Percentage
                    [as on Sep 30, 2022]",30.66,0.00,14.07,0.00,55.27,"Share Holding Percentage
                    [as on Oct 31, 2022]",30.06,0.00,28.55,0.00,41.39,N/A
IPDC Finance Limited,N/A,https://www.dsebd.org/displayCompany.php?name=IPDC,IPDC,11137,N/A,57.60,N/A,57.60,3:10 PM,57.60 - 57.60,0,0.00%,0.00,33.80 - 77.20,57.60,11.00,57.60,2,57.60,"21,374.873",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"8,000.00",N/A,"3,710.92",Equity,10.0,1,"371,091,547",Financial Institutions,"Hosna Centre (4th Floor), 106, Gulshan Avenue, Dhaka-1212",N/A,N/A,N/A,+880255068931-36 Ext-154,+880255068928 +880255068930,csipdc@ipdcbd.com,http://www.ipdcbd.com,Samiul Hashim,+88 01713 463 307,+880 55068931-36 Ext-112,samiul.hashim@ipdcbd.com,2006,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",48.04,21.88,14.86,0.09,15.13,"Share Holding Percentage
                    [as on Sep 30, 2022]",48.04,21.88,12.54,0.06,17.48,"Share Holding Percentage
                    [as on Oct 31, 2022]",48.04,21.88,10.80,0.07,19.21,N/A
Islami Bank Bangladesh Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ISLAMIBANK,ISLAMIBANK,11104,N/A,32.70,N/A,32.70,3:10 PM,32.60 - 32.80,0,0.00%,8.99,31.30 - 36.00,32.60,"275,256.00",32.70,183,32.70,"52,646.695",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"20,000.00",N/A,"16,100.00",Equity,10.0,1,"1,609,990,668",Bank,"Islami Bank Tower, 40, Dilkusha C/A, Dhaka - 1000rnAndrn63, Dilkusha Commercial Arearn(5th Floor) Dhaka-1000 (Share Office)",N/A,N/A,N/A,"(+88-02) 9551105, 9551062, 9550415, Ext-627, 624, 615, Direct: 9564595","(+88-02) 9564532, 9568634",info@islamibankbd.com,http://www.islamibankbd.com,"J Q M Habibullah, FCS",+88-01713046179,+88-02 9563040 (114) Direct: (+88-02) 9552639,Ibblbs@islamibankbd.com,1985,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",51.32,0.00,15.42,20.19,13.07,"Share Holding Percentage
                    [as on Sep 30, 2022]",55.06,0.00,14.30,20.58,10.06,"Share Holding Percentage
                    [as on Oct 31, 2022]",55.06,0.00,16.26,20.57,8.11,"TK 9,071,295,675 Revaluation Reserve has been added to Reserve & Surplus."
Islamic Finance & Investment Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=ISLAMICFIN,ISLAMICFIN,11133,N/A,19.70,N/A,19.70,3:10 PM,19.70 - 19.70,0,0.00%,0.19,19.40 - 29.30,19.70,"9,600.00",19.70,4,19.70,"2,764.435",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,500.00",N/A,"1,403.27",Equity,10.0,1,"140,326,670",Financial Institutions,"Impetus Center (3rd Floor), 242/B Tejgaon- Gulshan Link Road, Tejgaon I/A, Dhaka-1208",N/A,N/A,N/A,88 02 8878725-31,88 02 8878777,info@ifilbd.com,http://www.ifilbd.com,Mr. S.Q. Bazlur Rashid,+88 01713 012 683,88 02 8878725-31 ext. 105,bazlur.rashid@ifilbd.com,2005,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",31.18,0.00,17.80,0.00,51.02,"Share Holding Percentage
                    [as on Sep 30, 2022]",31.18,0.00,23.08,0.00,45.74,"Share Holding Percentage
                    [as on Oct 31, 2022]",29.16,0.00,23.20,0.00,47.64,N/A
Islami Insurance Bangladesh Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ISLAMIINS,ISLAMIINS,25742,N/A,41.20,N/A,41.20,3:10 PM,40.80 - 41.50,0.3,0.73%,0.87,39.20 - 67.30,40.80,"21,027.00",40.90,69,40.90,"1,683.657",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"1,000.00",N/A,411.65,Equity,10.0,1,"41,165,215",Insurance,"DR Tower (11th Floor), 65/2/2 Purana Paltan, Dhaka.",N/A,N/A,N/A,880-2-55112831-33,+88029562213,islamiinsurance@gmail.com,http://www.islamiinsurance.com,"Md. Abdur Razzaque, ACS",+88 01916 252 627,880-2-223382753,islamiinsurance.cs@gmail.com,2009,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",39.49,0.00,8.52,0.00,51.99,"Share Holding Percentage
                    [as on Sep 30, 2022]",29.16,0.00,9.57,0.00,61.27,"Share Holding Percentage
                    [as on Oct 31, 2022]",29.16,0.00,9.44,0.00,61.40,N/A
Information Services Network Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=ISNLTD,ISNLTD,22641,N/A,55.10,N/A,55.10,3:10 PM,54.70 - 56.20,-0.5,-0.90%,10.97,34.30 - 76.40,55.90,"197,236.00",55.60,410,55.60,607.152,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,500.00,N/A,109.20,Equity,10.0,1,"10,920,003",IT Sector,"TMC Building (4th Floor), 52 New Eskaton Road, Dhaka-1000",N/A,N/A,N/A,+880-2  - 48322785-8/ 09602000001,88-02- 9345460,info@bangla.net,http://www.bangla.net,Fakhrul Islam Bhuiyan,+88 01714 317 138,9602000001 (127),secretary.isn@bangla.net.bd,2002,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",21.62,0.00,13.39,0.00,64.99,"Share Holding Percentage
                    [as on Sep 30, 2022]",21.62,0.00,10.52,0.00,67.86,"Share Holding Percentage
                    [as on Oct 31, 2022]",21.62,0.00,22.88,0.00,55.50,"TK 21,283,941 Revaluation Surplus has been added to Reserve."
IT Consultants Limited,N/A,https://www.dsebd.org/displayCompany.php?name=ITC,ITC,22648,N/A,34.40,N/A,34.40,3:10 PM,34.20 - 35.20,0,0.00%,57.55,30.60 - 46.10,34.70,"1,661,270.00",34.40,"1,459",34.40,"4,423.588",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"2,000.00","10 Jan, 2016","1,285.93",Equity,10.0,1,"128,592,664",IT Sector,"Evergreen Plaza (3rd Floor), 260/B, Tejgaon I/A, Dhaka -1208",N/A,N/A,N/A,"+88 02 9830310-13, +88 02 9830310-13, Ext-2070",+88 02 9830309,anindya@itcbd.com,http://www.itcbd.com,Anindya Sarkar,01730-799989,"+88 02-9830310-13, Ext-2070",anindya@itcbd.com,2016,B,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",51.09,0.00,23.66,0.18,25.07,"Share Holding Percentage
                    [as on Sep 30, 2022]",51.09,0.00,20.75,0.00,28.16,"Share Holding Percentage
                    [as on Oct 31, 2022]",51.09,0.00,21.32,0.00,27.59,"1. TK 188,396,337 Revaluation Reserve has been added to Reserve & Surplus."
Jamuna Bank Ltd.,N/A,https://www.dsebd.org/displayCompany.php?name=JAMUNABANK,JAMUNABANK,11134,N/A,21.30,N/A,21.30,3:10 PM,21.30 - 21.30,0,0.00%,0.09,19.10 - 24.60,21.30,"4,059.00",21.30,10,21.30,"15,958.506",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"10,000.00",N/A,"7,492.26",Equity,10.0,1,"749,225,650",Bank,"Jamuna Bank Tower (13th Floor), Plot-14, Block-C, Bir Uttam A.K Khandakar Road, Gulshan-1, Dhaka",N/A,N/A,N/A,+8809610005678 Ex 0119,N/A,head.share@jamunabank.com.bd,http://www.jamunabankbd.com,Mr. M. A. Rouf,+88 01777 743 611,+8809610005678 Ex.0106,head.board@jamunabank.com.bd,2006,A,Y,"Share Holding Percentage
                    [as on Dec 31, 2021 (year ended)]",48.55,0.00,7.86,0.57,43.02,"Share Holding Percentage
                    [as on Sep 30, 2022]",46.29,0.00,5.13,0.51,48.07,"Share Holding Percentage
                    [as on Oct 31, 2022]",46.29,0.00,6.48,0.49,46.74,"TK 1,063,497,554 Revaluation Reserve has been added to Reserve & Surplus."
Jamuna Oil Company Limited,N/A,https://www.dsebd.org/displayCompany.php?name=JAMUNAOIL,JAMUNAOIL,15309,N/A,170.10,N/A,170.10,3:10 PM,168.40 - 170.50,1.1,0.65%,3.48,155.40 - 192.00,168.60,"20,513.00",169.00,124,169.00,"18,661.757",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"3,000.00",N/A,"1,104.25",Equity,10.0,1,"110,424,600",Fuel & Power,"Jamuna Bhaban, Agrabad Commercial ArearnChattogram-4100",N/A,N/A,N/A,"031-724384, 031-720181-3 031-2520134-92520408,",88-031-713289,joclbd@yahoo.com,http://www.jamunaoil.gov.bd,MD.Masudul Islam,01711-722500,031-724335 031-2520134-9 Ext-214,csjocl2013@gmail.com,2007,A,Y,"Share Holding Percentage
                    [as on Jun 30, 2021 (year ended)]",2.90,60.08,26.74,0.49,9.79,"Share Holding Percentage
                    [as on Sep 30, 2022]",2.90,60.08,28.43,0.26,8.33,"Share Holding Percentage
                    [as on Oct 31, 2022]",2.90,60.08,28.44,0.27,8.31,N/A
